ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,Sponsor_1,Sponsor ID_1,Sponsor_2,Sponsor ID_2,City,State,Mode,Author
501,,Douglas Branch Reconstruction,AR07,AR07,AR07,AR07,,NTD,,,AR07,AR07,AR07,zi
502,,Union-Pacific West Line Extension,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,zi
503,,Little Rock River Rail Project,AR00,AR00,AR00,AR00,,NTD,,,AR00,AR00,AR00,zi
504,,Central Phoenix East Valley Light Rail,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,zi
505,,South Central Phoenix LRT/Downtown Hub,PP19,PP19,PP19,PP19,,NTD,,,PP19,PP19,PP19,zi
506,,Northwest Phase II LRT Extension,PP19,PP19,PP19,PP19,,NTD,,,PP19,PP19,PP19,zi
507,,Modern Streetcar Project,AR11,AR11,AR11,AR11,,NTD,,,AR11,AR11,AR11,zi
508,,Tempe Streetcar,AR14,AR14,AR14,AR14,,NTD,,,AR14,AR14,AR14,zi
509,,Central Mesa Light Rail Transit Extension,BA19,BA19,BA19,BA19,,NTD,,,BA19,BA19,BA19,zi
510,,Transit Spine BRT,PP18,PP18,PP18,PP18,,NTD,,,PP18,PP18,PP18,zi
511,,Mountain Link BRT Project,BA14,BA14,BA14,BA14,,NTD,,,BA14,BA14,BA14,zi
512,,Northstar Corridor Rail,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,zi
513,,Southwest Light Rail Transit,PP21,NAV,PP21,PP21,PP21,NTD,,,PP16,PP16,PP16,zi
514,,METRO Blue Line Extension,AR16,AR16,AR16,AR16,,NTD,,,AR16,AR16,AR16,zi
515,,METRO Orange Line Bus Rapid Transit Project,AR16,AR16,AR16,AR16,,NTD,,,AR16,AR16,AR16,zi
516,,Hiawatha Corridor LRT,AR05,AR05,AR05,AR05,,NTD,,,AR05,AR05,AR05,zi
517,,Central Corridor LRT,BA20,BA20,BA20,BA20,,NTD,,,BA20,BA20,BA20,zi
518,,METRO Gold Bus Rapid Transit,PP19,PP19,PP19,PP19,,NTD,,,PP19,PP19,PP19,zi
519,,Rochester Downtown Circulator Bus Rapid Transit,PP22,PP22,PP22,PP22,,NTD,,,PP22,PP22,PP22,zi
