ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,Author
507,,Modern Streetcar Project,2007,18,Introduction,New Starts,Tucson,AZ,Streetcar,zi
508,,Tempe Streetcar,2013,18,Introduction,Small Starts,Tempe,AZ,Streetcar,zi
509,,Central Mesa Light Rail Transit Extension,2010,4,Expansion,Small Starts,Mesa,AZ,LRT,zi
510,,Transit Spine BRT,2016,22,Introduction,Small Starts,Flagstaff,AZ,BRT,zi
511,,Mountain Link BRT Project,2009,21,Introduction,Very Small Starts,Flagstaff,AZ,BRT,zi
512,,Northstar Corridor Rail,2000,12,Introduction,New Starts,Minneapolis,MN,Commuter Rail,zi
513,,Southwest Light Rail Transit,2011,16,Expansion,New Starts,Minneapolis,MN,LRT,zi
514,,METRO Blue Line Extension,2014,11,Expansion,New Starts,Minneapolis,MN,LRT,zi
515,,METRO Orange Line Bus Rapid Transit Project,2014,11,Introduction,Small Starts,Minneapolis,MN,BRT,zi
516,,Hiawatha Corridor LRT,1999,17,Expansion,New Starts,St. Paul,MN,LRT,zi
517,,Central Corridor LRT,2006,18,Expansion,New Starts,St. Paul,MN,LRT,zi
518,,METRO Gold Bus Rapid Transit,2018,10,Introduction,New Starts,St. Paul,MN,BRT,zi
519,,Rochester Downtown Circulator Bus Rapid Transit,2020,11,Introduction,Small Starts,Rochester,MN,BRT,zi
520,,Wilmington to Newark Commuter Rail Improvements,2004,1,Improvement,New Starts,Wilmington,DE,Commuter Rail,zi
521,,LYNX Blue Line Extension - Northeast Corridor,2007,11,Introduction,New Starts,Charlotte,NC,LRT,zi
522,,CityLYNX Gold Line Phase 2 Streetcar,2014,11,Expansion,Small Starts,Charlotte,NC,Streetcar,zi
523,,Blue Line Capacity Expansion,2015,11,Improvement,Core Capacity,Charlotte,NC,LRT,zi
524,,South Corridor Light Rail Project,2000,19,Expansion,New Starts,Charlotte,NC,LRT,zi
525,,Durham-Orange LRT,2014,18,Introduction,New Starts,Durham,NC,LRT,zi
526,,Research Triangle Regional Rail System,1998,16,Introduction,New Starts,Durham,NC,Commuter Rail,zi
527,,North-South BRT,2016,16,Introduction,Small Starts,Chapel Hill,NC,BRT,zi
528,,Wake Bus Rapid Transit: New Bern Avenue Project,2019,10,Introduction,Small Starts,Raleigh,NC,BRT,zi
529,,Lowcountry Rapid Transit Project,2020,20,Introduction,New Starts,Charleston,SC,BRT,zi
530,,IndyGO Purple Line BRT,2017,23,Introduction,Small Starts,Indianapolis,IN,BRT,zi
531,,Red Line All-Electric BRT,2015,28,Introduction,Small Starts,Indianapolis,IN,BRT,zi
